root_id,primary_type,additional_type(s)
720575940596125868,T5c,
720575940597856265,Tm16,
720575940597944841,Tm7,CB3851
720575940598267657,TmY15,
720575940599333574,Tm1,
720575940599457990,T4b,
720575940599459782,T5b,
720575940599704006,T5a,
720575940599729862,T5a,
720575940599733446,T5b,
720575940599736492,R1-6,
720575940599744172,R1-6,
720575940599755718,T4a,
720575940599763910,T5b,
720575940599797164,Dm3v,Dm3
720575940600010668,R1-6,
720575940600071689,T5b,
720575940600084489,Tm9,
720575940600101641,T4a,
720575940600124169,T5b,
720575940600143369,T4a,
720575940600150793,T5a,
720575940600322965,L2,L1-3
720575940600433181,JO-B,
720575940600547529,T4a,
720575940600588204,Dm2,
720575940600623020,Dm3q,Dm3
720575940600646173,JO-mz,
720575940600722348,Sm01,
720575940600782252,Mi9,
720575940600850441,T4c,
720575940600866569,T5d,
720575940600934665,T4d,
720575940601049097,R1-6,
720575940601067436,Mi15,
720575940601103625,TmY3,
720575940601206499,T4b,
720575940601263473,T4a,
720575940601325484,Mi15,
720575940601412361,TmY20,
720575940601423625,TmY31,TmYem1
720575940601598892,Mi9,
720575940601603185,T2a,
720575940601653513,Dm3q,Dm3
720575940601672201,T4b,
720575940601712649,Li22,Li2
720575940601736201,Dm10,
720575940601867017,Tm5f,Tm5Y
720575940602120928,CB1783,AVLP_pr36
720575940602132509,JO-EVM,
720575940602140862,T5b,
720575940602289198,R1-6,
720575940602313952,CB1937,
720575940602337504,AN_AVLP_41,
720575940602353632,LB1a,
720575940602380768,CB1538,
720575940602382304,AN_GNG_SAD_13,
720575940602398473,Tm3,
720575940602401214,T3,
720575940602415584,WED031,
720575940602430944,AN_IPS_WED_1,
720575940602444512,AN_GNG_175,
720575940602447328,AN_GNG_142,
720575940602483424,LC31b,LC31
720575940602497726,T5c,
720575940602506208,JO-EVM,
720575940602534112,DNge116,
720575940602553568,KCapbp-ap2,KCab-ap2
720575940602564320,KCg-m,
720575940602572768,T2a,
720575940602577598,T5a,
720575940602605536,KCab,KCab-m
720575940602618848,CB1881,
720575940602619249,Dm3p,Dm3
720575940602703072,AN_FLA_GNG_2,
720575940602718432,WED072,
720575940602720940,JO-CA,
720575940602737598,T5a,
720575940602747360,hDeltaJ,
720575940602783968,ER3d,
720575940602790610,T5c,
720575940602800608,vDeltaA,"vDeltaB, vDeltaC, vDeltaD, vDeltaE, vDeltaJ, vDeltaK, vDeltaL, vDeltaM"
720575940602815200,KCab,KCab-s
720575940602829536,KCg-d,
720575940602831328,vDeltaF,"vDeltaG, vDeltaH, vDeltaI"
720575940602849248,CB2965,pSP9
720575940602857440,Tm8a,Tm8
720575940602857696,L1,
720575940602858464,T2a,
720575940602864300,DNpe008,PS228
720575940602879404,CB1066,
720575940602880736,Tm9,
720575940602885344,cLP01,
720575940602891232,CB1638,
720575940602893228,AN_IPS_GNG_6,
720575940602914988,CB2364,AVLP_pr01
720575940602917088,EPGt,
720575940602920364,hDeltaJ,
720575940602922976,T2,
720575940602928608,T4c,
720575940602943968,Mi4,
720575940602964140,SAD007,
720575940602974688,CB2377,
720575940602977248,LHAV2m1,
720575940603011808,LTe66,PS273
720575940603012832,LAL059,
720575940603022304,T4a,
720575940603029472,BM_InOm,
720575940603032748,CB1283,
720575940603042272,Mi1,
720575940603045804,KCg-d,
720575940603048108,hDeltaI,
720575940603050668,KCab,KCab-m
720575940603067360,LC13,
720575940603077600,LC12,
720575940603082720,CB2269,
720575940603084972,KCab,KCab-s
720575940603094700,ER3a,
720575940603111392,KCg-m,
720575940603114869,R1-6,
720575940603117996,SMP277,
720575940603121888,CB3534,
720575940603123936,CB3861,"AVLP551, AVLP552"
720575940603125216,WED013,
720575940603152998,WEDPN6B,WEDPN6C
720575940603167916,AVLP011,"AVLP012, aSP6"
720575940603174368,KCapbp-ap2,KCab-ap2
720575940603174572,LCe06,
720575940603176049,Dm3p,Dm3
720575940603183840,BM_InOm,
720575940603186790,CB3234,WED-VLP
720575940603195494,CB3646,B1
720575940603197408,CB.FB2E7,
720575940603198432,BM_InOm,
720575940603200428,Mi1,
720575940603201452,PS202,
720575940603215532,Dm2,
720575940603225312,LC17,
720575940603231916,DA1_lPN,aDT3
720575940603233248,SIP003_a,
720575940603235500,CB1122,
720575940603238828,vDeltaA,"vDeltaB, vDeltaC, vDeltaD, vDeltaE, vDeltaJ, vDeltaK, vDeltaL, vDeltaM"
720575940603240876,CB1468,
720575940603250860,SMP461,
720575940603266592,LB1b,
720575940603268064,KCab-p,
720575940603268780,Tm2,
720575940603272038,LC18,
720575940603274272,LAL003,LAL044
720575940603279648,PLP048,
720575940603295200,Mi9,
720575940603314144,Y4,
720575940603314656,Tm2,
720575940603317216,KCg-m,
720575940603318240,Tm4,
720575940603327916,Mi1,
720575940603331686,CL253,AVLP_pr05
720575940603333804,T2a,
720575940603338156,Li17,CB3830
720575940603339232,T4c,
720575940603349216,T5d,
720575940603352748,PS097,
720575940603356128,ORN_DM2,
720575940603356896,T4d,
720575940603365980,T5a,
720575940603366112,Dm8b,Dm8
720575940603372460,MeTu1,"MC61, MC64"
720575940603373916,T5a,
720575940603374624,SA_DLV,
720575940603379168,Tm25,Tm12
720575940603383008,Tm3,
720575940603384748,Tm4,
720575940603390380,T5c,
720575940603391404,LC6,
720575940603391712,T4c,
720575940603391778,T5d,
720575940603392546,T5b,
720575940603394272,T4c,
720575940603397088,MTe04,
720575940603402412,LC12,
720575940603404834,T5d,
720575940603406258,R1-6,
720575940603407328,TmY3,
720575940603408608,Dm3v,Dm3
720575940603409632,PFNm,PFNp
720575940603430112,ORN_VM5d,
720575940603435232,C2,
720575940603439020,cLP01,
720575940603441632,CB0194,
720575940603446374,M_lvPNm47,
720575940603449010,R1-6,
720575940603452384,LC16,
720575940603453286,M_adPNm4a,"M_adPNm5a, M_adPNm4, M_adPNm5"
720575940603453542,AN_AVLP_48,
720575940603455846,CB2307,
720575940603456288,AN_GNG_92,
720575940603457760,Li03,
720575940603460640,AN_AVLP_2,
720575940603464672,VL2a_adPN,
720575940603471811,T5d,
720575940603472608,Mi9,
720575940603472864,Mi13,
720575940603487456,T5d,
720575940603489824,DNpe015,
720575940603491957,T4a,
720575940603492012,CB2211,
720575940603495340,LC13,
720575940603495648,Tm2,
720575940603497184,Sm12,
720575940603498357,T4d,
720575940603498613,T4c,
720575940603498869,T4b,
720575940603501024,Tm9,
720575940603507302,CB2710,WEDPN8C
720575940603507372,CB2106,
720575940603514141,CB0840,
720575940603516006,SA_DLV,
720575940603520172,KCapbp-ap1,KCab-ap1
720575940603526005,T4a,
720575940603530464,TmY4,
720575940603533246,WV-WV-3,
720575940603537766,AN_GNG_202,
720575940603538348,LC17,
720575940603539424,MeMe_e01,
720575940603544363,T5d,
720575940603545190,AN_GNG_47,
720575940603548640,CB1750,
720575940603549152,LAL132a,LAL132
720575940603549868,FS4A,"FS4B, FS4C"
720575940603552736,LC21,
720575940603556198,CB1513,
720575940603556981,T4d,
720575940603557920,Tm9,
720575940603563893,T4c,
720575940603565856,PLP188,PLP189
720575940603568757,T4a,
720575940603569836,CB3070,
720575940603574374,AN_AVLP_53,
720575940603578848,LC11,
720575940603579616,CB3687,
720575940603580960,DNpe054,DNp16/17
720575940603587500,SIP003_b,
720575940603590246,SLP412,
720575940603591014,DNae004,DNa05
720575940603595366,AN_AVLP_25,
720575940603596972,LC44,
720575940603599206,AN_GNG_VES_8,
720575940603600230,AN_GNG_139,
720575940603604258,T5b,
720575940603605538,T4a,
720575940603609824,CB2049,
720575940603616800,CB2558,B1
720575940603618494,MeTu3a,"MeTu3, MC61, MC64"
720575940603620268,CB2432,
720575940603621344,CL245,
720575940603622828,CB0955,
720575940603636913,CB1075,B1-3
720575940603637438,LC4,
720575940603639724,BM_InOm,
720575940603642982,KCab,KCab-c
720575940603659488,ORN_VA7m,
720575940603663276,CB1229,
720575940603663974,SLP114,SLP115
720575940603667884,CB3858,
720575940603672032,LC18,
720575940603673056,IB015,
720575940603673120,KCab,KCab-s
720575940603674656,KCab,KCab-c
720575940603676076,CB1925,
720575940603676448,SAD045,SAD046
720575940603676774,vDeltaA,"vDeltaB, vDeltaC, vDeltaD, vDeltaE, vDeltaJ, vDeltaK, vDeltaL, vDeltaM"
720575940603676844,CB.FB8E0,FB7L
720575940603683505,CB2253,AVLP_pr01
720575940603686624,CB1654,
720575940603687084,KCab-p,
720575940603688224,KCab,KCab-s
720575940603688226,T5b,
720575940603692256,CB2433,AVLP_pr22
720575940603693158,SMP411a,SMP411
720575940603695025,CB1069,AVLP_pr22
